"BradleyFletcher","EU","Taxon","VernacularName","UtilityGroup","NaturalFamily","Posture","ForewingShape","ForewingLength","Texture","ForewingColour","Basal","Basal_Stigmata","Antemedian","Antemedian_Stigmata","Median","Median_Stigmata","Postmedian","Postmedian_Stigmata","Terminal","Terminal_Stigmata","Apical","Apical_Stigmata","Subapical","Subapical_Stigmata","Tornal","Tornal_Stigmata","Subtornal","Subtornal_Stigmata","Costal","Costal_Stigmata","Subcostal","Subcostal_Stigmata","Medial","Medial_Stigmata","Subdorsal","Subdorsal_Stigmata","Dorsal","Dorsal_Stigmata","OtherFeatures"
"0332a",,"Phyllonorycter leucographella","Firethorn Leaf Miner","Micro","Gracillariidea","Wings_rolled","Narrow","[3-4.5]","Matte","Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"White streak from base to one third. Four streaks"
"#0389",,"Choreutis pariana ","Apple Leaf Skeletonizer","Micro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#0445",,"0445 Ocnerostoma friesei ",,"Micro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#0461",,"0461 Ypsolopha ustella ",,"Micro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#0473",,"0473 Acrolepiopsis assectella Leek Moth",,"Micro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#0476",,"0476 Acrolepia autumnitella ",,"Micro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,,"Epermenia chaerophyllella",,"Micro","Epernenidae","Wings_rolled","Narrow","[5.5-6]","Matte","Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wing apex slightly hooked"
"#493",,"0493 Coleophora serratella ",,"Micro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,,"Hofmannophila pseudospretella","Orange House Moth","Micro","Oecophoridae","Wings_flat |Wings_tentlike","Narrow","[7-11]","Matte","Greys | Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,,"Endrosis sarcitrella","White-shouldered House Moth","Micro","Oecophoridae","Wings_flat |Wings_tentlike","Narrow","[6-9]","Matte","Greys | Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,,"Diurnea fagella ",,"Micro","Chimabachidae","Wings_flat |Wings_tentlike","Narrow","[13-14]","Matte","Greys | Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,,"Depressaria heraclei","Parsnip Moth","Micro","Depressariidae","Wings_flat","Narrow","[12-14]","Matte","Greys | Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,,"Agonopterix heracliana",,"Micro","Depressariidae","Wings_flat","Narrow","[8-11]","Matte","Greys | Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695,,"Agonopterix alstromeriana",,"Micro","Depressariidae","Wings_flat","Narrow","[8-10]","Matte","Greys | Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,,"Agonopterix arenella",,"Micro","Depressariidae","Wings_flat","Narrow","[9-11]","Matte","Greys | Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,,"Agonopterix ocellana",,"Micro","Depressariidae","Wings_flat","Narrow","[9-11]","Matte","Greys | Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,,"Blastobasis adustella",,"Micro","Blastobasidae","Wings_rolled","Narrow","[6-9]","Matte","Greys | Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,,"Mompha subbistrigella",,"Micro","Momphidae","Wings_rolled","Narrow","[3.5-5.5]","Matte","Greys",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,,"Acleris ferrugana",,"Micro","Tortricidae","Wings_flat","Narrow","[6-8]","Matte","Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,,"Acleris notana",,"Micro","Tortricidae","Wings_flat","Narrow","[9-11]","Matte","Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047,,"Acleris schalleriana",,"Micro","Tortricidae","Wings_flat","Narrow","[6-9]","Matte","Greys | Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,,"Acleris kochiella",,"Micro","Tortricidae","Wings_flat","Narrow","[7-9]","Matte","Greys",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,,"Acleris hastiana",,"Micro","Tortricidae","Wings_flat","Narrow","[9-11]","Matte","Greys | Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054,,"Acleris cristana",,"Micro","Tortricidae","Wings_flat","Narrow","[9-11]","Matte","Greys | Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
